Block Code,Block Name,District Code,District Name
1128,BANMANKHI,11,PURNEA
1112,NARPATGANJ,12,ARARIA
1121,TERHAGACHH,13,KISHANGANJ
1142,FALKA,14,KATIHAR
1356,MUNGER SADAR,21,MUNGER
1511,NARDIGANJ,22,JAMUI
1365,BARAHIYA,23,LAKHISARAI
1372,BARBIGHA,24,SHEIKHPURA
1322,ALAULI,25,KHAGARIA
1304,KHODAWANDPUR,26,BEGUSARAI
1329,NARAYANPUR,31,BHAGALPUR
1345,SHAMBHUGANJ,32,BANKA
1171,NAUHATTA,41,SAHARSA
1101,NIRMALI,42,SUPAUL
1158,GAMHARIYA,43,MADHEPURA
1199,SAHEBGANJ,51,MUZAFFARPUR
1063,BAIRGANIA,52,SITAMARHI
1268,VAISHALI,53,VAISHALI
1013,BAGAHA-II,54,WEST CHAMPARAN
1031,RAXAUL,55,EAST CHAMPARAN
1058,PURNAHIYA,56,SHEOHAR
1181,JALE,61,DARBHANGA
1080,MADHWAPUR,62,MADHUBANI
1284,KALYANPUR,63,SAMASTIPUR
1398,MANER,71,PATNA
1378,KARAI PARSURAI,72,NALANDA
1421,SHAHPUR,73,BHOJPUR
1457,KOCHAS,74,ROHTAS
1435,SIMRI,75,BUXAR
1446,RAMGARH,76,KAIMUR
1487,KONCH,81,GAYA
1511,NARDIGANJ,82,NAWADAH
1476,DAUDNAGAR,83,AURANGABAD
1535,RATNI FARIDPUR,84,JEHANABAD
1542,ARWAL,85,ARWAL
1248,MASHRAKH,91,SARAN
1229,NAUTAN,92,SIWAN
1215,KATAIYA,93,GOPALGANJ
