District Name,School Code,School Name
PURNEA,11001,ZILA SCHOOL PURNEA
PURNEA,11002,URSULINE CONVENT GIRLS HIGH SCHOOL PURNEA
PURNEA,11003,B B M HIGH SCHOOL PURNEA
PURNEA,11004,GOVT GIRLS HIGH SCHOOL PURNEA
PURNEA,11005,"MAA KALI HIGH SCHOOL MADHUBANI, PURNEA"
PURNEA,11006,"JLNS HIGH SCHOOL GULAB BAGH, PURNEA"
PURNEA,11007,"PARWATI MANDAL HIGH SCHOOL HARDA, PURNEA"
PURNEA,11008,"ANCHIT SAH HIGH SCHOOL BELOURI, PURNEA"
PURNEA,11009,"HIGH SCHOOL CHANDI RAZIGANJ, PURNEA"
PURNEA,11010,"GOVT HIGH SCHOOL SHRI NAGAR, PURNEA"
PURNEA,11011,"SIYA MOHAN HIGH SCHOOL SAHARA, PURNEA"
PURNEA,11012,"R P C HIGH SCHOOL PURNEA CITY, PURNEA"
PURNEA,11013,"HIGH SCHOOL KASBA, PURNEA"
PURNEA,11014,"K D GIRLS HIGH SCHOOL KASBA, PURNEA"
PURNEA,11015,"PROJECT GIRLS HIGH SCHOOL RANI PATRA, PURNEA"
PURNEA,11016,"K G P +2 SENIOR SECONDARY HIGH SCHOOL, BHOGA BHATGAMA, PURNEA"
PURNEA,11017,"N D RUNGTA H/S JALAL GARH, PURNEA"
PURNEA,11018,"KALA NAND H/S GARH BANAILI, PURNEA"
PURNEA,11019,"B N H/S JAGNICHAMPA NAGAR, PURNEA"
PURNEA,11020,"PROJECT GIRLS HIGH SCHOOL GOKUL PUR, PURNEA"
PURNEA,11021,ST THOMAS H S MUNSHIBARI PURNEA
PURNEA,11022,B C KANYA RES H S PURNEA
PURNEA,11023,"PURNEA H S RAMBAGH,PURNEA"
PURNEA,11024,"HIGH SCHOOL HAFANIA, PURNEA"
PURNEA,11025,"HIGH SCHOOL KANHARIA, PURNEA"
PURNEA,11026,"KANAK LAL H/S SOURA, PURNEA"
PURNEA,11027,"ABUL KALAM HIGH SCHOOL ICHALO, PURNEA"
PURNEA,11028,"PROJECT GIRLS HIGH SCHOOL AMOUR, PURNEA"
PURNEA,11029,"HIGH SCHOOL RAUTA, PURNEA"
PURNEA,11030,"HIGH SCHOOL AMOUR, PURNEA"
