Class Name,Subject Name,Chapter Name English,Chapter Name Hindi
10th (Matric),Hindi,,Je foHkktu vkSj tkfr izFkk
10th (Matric),Hindi,,"fo""k ds nk¡r"
10th (Matric),Hindi,,Hkkjr ls ge D;k lh[ksa
10th (Matric),Hindi,,uk[kwu D;ksa c<+rs gSa
10th (Matric),Hindi,,ukxjh fyfi
10th (Matric),Hindi,,cgknqj
10th (Matric),Hindi,,ijaijk dk ewY;kadu
10th (Matric),Hindi,,ftr&ftr eSa fuj[kr gw¡
10th (Matric),Hindi,,vkfoU;ks
10th (Matric),Hindi,,eNyh
10th (Matric),Hindi,,ukScr[kkus esa bcknr
10th (Matric),Hindi,,f'k{kk vkSj laLd`fr
10th (Matric),Hindi,,jke uke fcuq fcjFks tfx tuek
10th (Matric),Hindi,,izse v;fu Jh jkf/kdk
10th (Matric),Hindi,,vfr lw/kks lusg dks ekjx gS
10th (Matric),Hindi,,Lons'kh
10th (Matric),Hindi,,Hkkjr ekrk
10th (Matric),Hindi,,tura= dk tUe
10th (Matric),Hindi,,fgjksf'kek
10th (Matric),Hindi,,",d o`{k dh gR;k"
10th (Matric),Hindi,,gekjh uhan
10th (Matric),Hindi,,v{kjKku
10th (Matric),Hindi,,ykSVdj fQj vkÅ¡xk
10th (Matric),Hindi,,esjs fcuk rqe izHkq
10th (Matric),Hindi,,nghokyh eaxEek
10th (Matric),Hindi,,<grs fo'okl
10th (Matric),Hindi,,ek¡
10th (Matric),Hindi,,uxj
10th (Matric),Hindi,,/kjrh dc rd ?kwesxh
10th (Matric),Hindi,,fgUnh O;kdj.k
